GOOGL, Alphabet Inc. (Class A), Communication Services
GOOG, Alphabet Inc. (Class C), Communication Services
T, AT&T, Communication Services
CHTR, Charter Communications, Communication Services
CMCSA, Comcast, Communication Services
EA, Electronic Arts, Communication Services
FOXA, Fox Corporation (Class A), Communication Services
FOX, Fox Corporation (Class B), Communication Services
IPG, Interpublic Group of Companies (The), Communication Services
LYV, Live Nation Entertainment, Communication Services
MTCH, Match Group, Communication Services
META, Meta Platforms, Communication Services
NFLX, Netflix, Communication Services
NWSA, News Corp (Class A), Communication Services
NWS, News Corp (Class B), Communication Services
OMC, Omnicom Group, Communication Services
PARA, Paramount Global, Communication Services
TMUS, T-Mobile US, Communication Services
TTWO, Take-Two Interactive, Communication Services
VZ, Verizon, Communication Services
DIS, Walt Disney, Communication Services
WBD, Warner Bros. Discovery, Communication Services
ABNB, Airbnb, Consumer Discretionary
AMZN, Amazon, Consumer Discretionary
APTV, Aptiv, Consumer Discretionary
AZO, AutoZone, Consumer Discretionary
BBWI, Bath & Body Works, Inc., Consumer Discretionary
BBY, Best Buy, Consumer Discretionary
BKNG, Booking Holdings, Consumer Discretionary
BWA, BorgWarner, Consumer Discretionary
CZR, Caesars Entertainment, Consumer Discretionary
KMX, CarMax, Consumer Discretionary
CCL, Carnival, Consumer Discretionary
CMG, Chipotle Mexican Grill, Consumer Discretionary
DRI, Darden Restaurants, Consumer Discretionary
DPZ, Domino's, Consumer Discretionary
DHI, DR Horton, Consumer Discretionary
EBAY, eBay, Consumer Discretionary
ETSY, Etsy, Consumer Discretionary
EXPE, Expedia Group, Consumer Discretionary
F, Ford Motor Company, Consumer Discretionary
GRMN, Garmin, Consumer Discretionary
GM, General Motors, Consumer Discretionary
GPC, Genuine Parts Company, Consumer Discretionary
HAS, Hasbro, Consumer Discretionary
HLT, Hilton Worldwide, Consumer Discretionary
HD, Home Depot (The), Consumer Discretionary
LVS, Las Vegas Sands, Consumer Discretionary
LEN, Lennar, Consumer Discretionary
LKQ, LKQ Corporation, Consumer Discretionary
LOW, Lowe's, Consumer Discretionary
LULU, Lululemon Athletica, Consumer Discretionary
MAR, Marriott International, Consumer Discretionary
MCD, McDonald's, Consumer Discretionary
MGM, MGM Resorts, Consumer Discretionary
MHK, Mohawk Industries, Consumer Discretionary
NKE, Nike, Inc., Consumer Discretionary
NCLH, Norwegian Cruise Line Holdings, Consumer Discretionary
NVR, NVR, Inc., Consumer Discretionary
ORLY, O'Reilly Auto Parts, Consumer Discretionary
POOL, Pool Corporation, Consumer Discretionary
PHM, PulteGroup, Consumer Discretionary
RL, Ralph Lauren Corporation, Consumer Discretionary
ROST, Ross Stores, Consumer Discretionary
RCL, Royal Caribbean Group, Consumer Discretionary
SBUX, Starbucks, Consumer Discretionary
TPR, Tapestry, Inc., Consumer Discretionary
TSLA, Tesla, Inc., Consumer Discretionary
TJX, TJX Companies, Consumer Discretionary
TSCO, Tractor Supply, Consumer Discretionary
ULTA, Ulta Beauty, Consumer Discretionary
VFC, VF Corporation, Consumer Discretionary
WHR, Whirlpool Corporation, Consumer Discretionary
WYNN, Wynn Resorts, Consumer Discretionary
YUM, Yum! Brands, Consumer Discretionary
MO, Altria, Consumer Staples
ADM, Archer-Daniels-Midland, Consumer Staples
BF_B, Brown–Forman, Consumer Staples
BG, Bunge Global SA, Consumer Staples
CPB, Campbell Soup Company, Consumer Staples
CHD, Church & Dwight, Consumer Staples
CLX, Clorox, Consumer Staples
KO, Coca-Cola Company (The), Consumer Staples
CL, Colgate-Palmolive, Consumer Staples
CAG, Conagra Brands, Consumer Staples
STZ, Constellation Brands, Consumer Staples
COST, Costco, Consumer Staples
DG, Dollar General, Consumer Staples
DLTR, Dollar Tree, Consumer Staples
EL, Estée Lauder Companies (The), Consumer Staples
GIS, General Mills, Consumer Staples
HSY, Hershey's, Consumer Staples
HRL, Hormel Foods, Consumer Staples
K, Kellanova, Consumer Staples
KVUE, Kenvue, Consumer Staples
KDP, Keurig Dr Pepper, Consumer Staples
KMB, Kimberly-Clark, Consumer Staples
KHC, Kraft Heinz, Consumer Staples
KR, Kroger, Consumer Staples
LW, Lamb Weston, Consumer Staples
MKC, McCormick & Company, Consumer Staples
TAP, Molson Coors Beverage Company, Consumer Staples
MDLZ, Mondelez International, Consumer Staples
MNST, Monster Beverage, Consumer Staples
PEP, PepsiCo, Consumer Staples
PM, Philip Morris International, Consumer Staples
PG, Procter & Gamble, Consumer Staples
SJM, J.M. Smucker Company (The), Consumer Staples
SYY, Sysco, Consumer Staples
TGT, Target Corporation, Consumer Staples
TSN, Tyson Foods, Consumer Staples
WBA, Walgreens Boots Alliance, Consumer Staples
WMT, Walmart, Consumer Staples
APA, APA Corporation, Energy
BKR, Baker Hughes, Energy
CVX, Chevron Corporation, Energy
COP, ConocoPhillips, Energy
CTRA, Coterra, Energy
DVN, Devon Energy, Energy
FANG, Diamondback Energy, Energy
EOG, EOG Resources, Energy
EQT, EQT, Energy
XOM, ExxonMobil, Energy
HAL, Halliburton, Energy
HES, Hess Corporation, Energy
KMI, Kinder Morgan, Energy
MRO, Marathon Oil, Energy
MPC, Marathon Petroleum, Energy
OXY, Occidental Petroleum, Energy
OKE, ONEOK, Energy
PSX, Phillips 66, Energy
PXD, Pioneer Natural Resources, Energy
SLB, Schlumberger, Energy
TRGP, Targa Resources, Energy
VLO, Valero Energy, Energy
WMB, Williams Companies, Energy
AFL, Aflac, Financials
ALL, Allstate, Financials
AXP, American Express, Financials
AIG, American International Group, Financials
AMP, Ameriprise Financial, Financials
AON, Aon, Financials
ACGL, Arch Capital Group, Financials
AJG, Arthur J. Gallagher & Co., Financials
AIZ, Assurant, Financials
BAC, Bank of America, Financials
BK, Bank of New York Mellon, Financials
BRK_B, Berkshire Hathaway, Financials
BLK, BlackRock, Financials
BX, Blackstone, Financials
BRO, Brown & Brown, Financials
COF, Capital One, Financials
CBOE, Cboe Global Markets, Financials
SCHW, Charles Schwab Corporation, Financials
CB, Chubb Limited, Financials
CINF, Cincinnati Financial, Financials
C, Citigroup, Financials
CFG, Citizens Financial Group, Financials
CME, CME Group, Financials
CMA, Comerica, Financials
DFS, Discover Financial, Financials
EG, Everest Re, Financials
FDS, FactSet, Financials
FIS, Fidelity National Information Services, Financials
FITB, Fifth Third Bank, Financials
FI, Fiserv, Financials
